Week;Day;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11
Week 1;Monday;-;;;;;;;;;;
Week 1;Tuesday;-;;;;;;;;;;
Week 1;Wednesday;-;;;;;;;;;;
Week 1;Thursday;-;;;;;;;;;;
Week 1;Friday;Introductory test;Experiment planning;Treatment selection;Filling the reactors;Testing tightness;Pouring agar plates;;;;;
Week 1;Saturday;-;;;;;;;;;;
Week 1;Sunday;-;;;;;;;;;;
Week 2;Monday;Experiment start;PNF;pH;EC;FOS/TAC;DM d0 initial weight;PT plating;;;;
Week 2;Tuesday;GM;DM d0 end weight;oDM intial weight;CNP grinding;PT evaluation;;;;;;
Week 2;Wednesday;GM;PNF;ph;EC;FOS/TAC;TDM d2 initial weight;COD d0, d2;Create master plates;oDM end weight;;
Week 2;Thursday;;;;;;;;;;;
Week 2;Friday;;;;;;;;;;;
Week 2;Saturday;;;;;;;;;;;
Week 2;Sunday;;;;;;;;;;;
Week 3;Monday;;;;;;;;;;;
Week 3;Tuesday;;;;;;;;;;;
Week 3;Wednesday;;;;;;;;;;;
Week 3;Thursday;;;;;;;;;;;
Week 3;Friday;;;;;;;;;;;
Week 3;Saturday;;;;;;;;;;;
Week 3;Sunday;;;;;;;;;;;
