Parameter;Einheit;Grün;Gelb;Rot
CSB;[g/kg];40 - 90;"< 40; 90 - 110";> 110
TS;[% FM];4 - 8;"< 4; 8 - 9";> 9
oTS;[% FM];3 - 6;"< 3; 6 - 7";> 7
NH4+;[g/kg];< 5;> 5;-
Acetat;[g/L];< 1;1 - 3;> 3
Propionat;[mg/L];< 250;250 - 1000;> 1000
Butyrat;[mg/L];< 50;50 - 100;> 100
Iso-Butyrat;[mg/L];< 60;60 - 200;> 200
Valeriat;[mg/L];< 50;50 - 100;> 100
Iso-Valeriat;[mg/L];< 50;50 - 100;> 100
VFA gesamt;[g/L];< 1.5;1.5 - 4.5;> 4.5
EC;[mS/cm];18 - 20;"< 18; 20 - 60";> 60
pH;-;7.5 - 8.1;7.1 - 7.5;"< 7.1; > 8.1"
FOS/TAC;-;0.3 - 0.5;"0.2 - 0.3; 0.5 - 0.6";"< 0.2; > 0.6"
C/N;-;20 - 30;"15 - 20; 30 - 35";"< 15; > 35"
